Reco E (MeV),Hist val,Error,Resi (sigma)
4.125,2218,65.0999 ,-1.2995 
4.375,2432,65.8483 ,-0.0251 
4.625,2539,65.8255 ,-0.2781 
4.875,2610,65.7875 ,-0.9688 
5.125,2764,66.4229 ,-0.1861 
5.375,2918,68.5565 ,0.7645 
5.625,2965,68.1689 ,0.3140 
5.875,3024,69.2676 ,0.2236 
6.125,3074,70.0000 ,0.1956 
6.375,3073,69.8498 ,-0.3761 
6.625,3182,69.6994 ,0.8467 
6.875,3115,70.2922 ,-0.2340 
7.125,3186,69.8999 ,0.8736 
7.375,3104,69.8427 ,0.0109 
7.625,3049,68.7968 ,-0.2573 
7.875,3029,68.7677 ,0.1944 
8.125,2964,67.0969 ,0.2054 
8.375,2872,66.6333 ,0.0103 
8.625,2732,65.4370 ,-0.7168 
8.875,2651,63.2218 ,-0.3498 
9.125,2621,62.1691 ,1.0579 
9.375,2397,61.0328 ,-0.4754 
9.625,2297,59.0678 ,0.1737 
9.875,2145,56.6657 ,0.1048 
10.125,1914,55.3895 ,-1.2658 
10.375,1863,53.1883 ,0.7410 
10.625,1621,50.5866 ,-0.7461 
10.875,1511,48.0937 ,0.4289 
11.125,1384,44.8999 ,1.4093 
11.375,1067,40.8534 ,-2.0813 
11.625,970,38.1576 ,-0.4299 
11.875,810,34.4964 ,-0.4656 
12.125,715,32.8481 ,1.2670 
12.375,513,28.2312 ,-0.6322 
12.625,419,25.4755 ,0.7015 
12.875,259,20.3224 ,-1.3831 
13.125,171,16.1555 ,-1.2778 
13.375,137,14.1774 ,1.3623 
13.625,78,11.4018 ,0.8864 
13.875,39,8.6603 ,-0.3241 
14.125,31,6.8557 ,-0.1210 
14.375,25,6.0828 ,-0.4563 
14.625,28,6.1644 ,0.5313 
14.875,20,5.2915 ,-0.3368 
15.125,17,4.5826 ,-0.4166 
15.375,13,4.7958 ,-0.6533 
15.625,15,3.8730 ,0.3926 
15.875,20,4.6904 ,1.9242 
