Reco E (MeV),Hist val
16.083 ,9.02 
16.139 ,8.52 
16.194 ,8.03 
16.250 ,7.56 
16.306 ,7.09 
16.361 ,6.64 
16.417 ,6.20 
16.472 ,5.77 
16.528 ,5.36 
16.583 ,4.96 
16.639 ,4.57 
16.694 ,4.20 
16.750 ,3.84 
16.806 ,3.49 
16.861 ,3.16 
16.917 ,2.85 
16.972 ,2.55 
17.028 ,2.27 
17.083 ,2.00 
17.139 ,1.76 
17.194 ,1.53 
17.250 ,1.31 
17.306 ,1.12 
17.361 ,0.94 
17.417 ,0.78 
17.472 ,0.64 
17.528 ,0.52 
17.583 ,0.41 
17.639 ,0.32 
17.694 ,0.24 
17.750 ,0.18 
17.806 ,0.13 
17.861 ,0.10 
17.917 ,0.07 
17.972 ,0.05 
18.028 ,0.03 
18.083 ,0.02 
18.139 ,0.01 
18.194 ,0.01 
18.250 ,0.00 
18.306 ,0.00 
18.361 ,0.00 
18.417 ,0.00 
18.472 ,0.00 
18.528 ,0.00 
18.583 ,0.00 
18.639 ,0.00 
18.694 ,0.00 
18.750 ,0.00 
18.806 ,0.00 
18.861 ,0.00 
18.917 ,0.00 
18.972 ,0.00 
19.028 ,0.00 
19.083 ,0.00 
19.139 ,0.00 
19.194 ,0.00 
19.250 ,0.00 
19.306 ,0.00 
19.361 ,0.00 
19.417 ,0.00 
19.472 ,0.00 
19.528 ,0.00 
19.583 ,0.00 
19.639 ,0.00 
19.694 ,0.00 
19.750 ,0.00 
19.806 ,0.00 
19.861 ,0.00 
19.917 ,0.00 
19.972 ,0.00 
