Reco E (MeV),Hist val
0.125,64.41 
0.375,146.90 
0.625,242.63 
0.875,352.96 
1.125,477.03 
1.375,612.02 
1.625,756.69 
1.875,908.76 
2.125,1065.28 
2.375,1226.66 
2.625,1387.55 
2.875,1550.20 
3.125,1709.96 
3.375,1868.20 
3.625,2021.94 
3.875,2163.78 
4.125,2302.60 
4.375,2433.65 
4.625,2557.31 
4.875,2673.74 
5.125,2776.36 
5.375,2865.59 
5.625,2943.60 
5.875,3008.51 
6.125,3060.31 
6.375,3099.27 
6.625,3122.98 
6.875,3131.45 
7.125,3124.93 
7.375,3103.24 
7.625,3066.70 
7.875,3015.63 
8.125,2950.22 
8.375,2871.31 
8.625,2778.91 
8.875,2673.12 
9.125,2555.23 
9.375,2426.02 
9.625,2286.74 
9.875,2139.06 
10.125,1984.11 
10.375,1823.59 
10.625,1658.74 
10.875,1490.37 
11.125,1320.72 
11.375,1152.03 
11.625,986.40 
11.875,826.06 
12.125,673.38 
12.375,530.85 
12.625,401.13 
12.875,287.11 
13.125,191.64 
13.375,117.69 
13.625,67.89 
13.875,41.81 
14.125,31.83 
14.375,27.78 
14.625,24.72 
14.875,21.78 
15.125,18.91 
15.375,16.13 
15.625,13.48 
15.875,10.97 
16.125,8.65 
16.375,6.54 
16.625,4.68 
16.875,3.10 
17.125,1.83 
17.375,0.91 
17.625,0.35 
17.875,0.10 
18.125,0.02 
18.375,0.00 
18.625,0.00 
18.875,0.00 
19.125,0.00 
19.375,0.00 
19.625,0.00 
19.875,0.00 
