# Panel a of Fig. 3:
# This file contains the prompt energy spectrum data shown in panel a of the fig. 3
#
# Columns:
# Ec - Energy bin center (MeV)
# Ewid - Energy bin width (MeV)
# Nobs - Number of observed events
# Nobs_err - Statistical error of observed events
# Npred_best_fit - Number of predicted events from best fit
# Npred_signal - Number of predicted events from best fit, backgrounds subtracted
# Npred_9Li8He - Number of predicted events from 9Li/8He background
# Npred_Geonu - Number of predicted events from geoneutrinos
# Npred_WorldRea - Number of predicted events from world reactors
# Npred_Bipo - Number of predicted events from 214Bi-214Po background
# Npred_OtherBkg - Number of predicted events from other backgrounds
#
# All values are scaled to events/0.1 MeV; scale to the corresponding bin width to obtain the histogram for fitting.
#
Ec,Ewid,Nobs,Nobs_err,Npred_best_fit,Npred_signal,Npred_9Li8He,Npred_Geonu,Npred_WorldRea,Npred_Bipo,Npred_OtherBkg
2.35,0.10,29.00,5.39,37.55,29.90,2.10,2.64,1.22,1.00,0.72
2.45,0.10,43.00,6.56,36.41,30.80,2.21,0.94,1.35,0.95,0.19
2.55,0.10,31.00,5.57,37.17,32.18,2.31,0.07,1.60,0.87,0.13
2.65,0.10,38.00,6.16,37.47,32.50,2.41,0.00,1.63,0.78,0.14
2.75,0.10,49.00,7.00,39.09,34.31,2.51,0.00,1.53,0.64,0.10
2.85,0.10,39.00,6.24,39.07,34.47,2.59,0.00,1.45,0.49,0.08
2.95,0.10,39.00,6.25,40.75,36.32,2.66,0.00,1.41,0.30,0.06
3.05,0.10,36.00,6.00,42.84,38.43,2.73,0.00,1.44,0.18,0.06
3.15,0.10,39.00,6.24,43.30,38.87,2.80,0.00,1.49,0.07,0.05
3.25,0.10,46.00,6.78,45.87,41.41,2.86,0.00,1.52,0.02,0.05
3.35,0.10,41.00,6.40,47.81,43.33,2.93,0.00,1.50,0.00,0.05
3.45,0.10,52.00,7.21,47.11,42.69,2.99,0.00,1.38,0.00,0.05
3.55,0.10,52.00,7.21,47.87,43.59,3.05,0.00,1.18,0.00,0.05
3.65,0.10,42.00,6.48,49.69,45.51,3.12,0.00,1.00,0.00,0.05
3.75,0.10,62.00,7.87,48.94,44.71,3.18,0.00,1.01,0.00,0.05
3.85,0.10,43.00,6.56,47.43,42.97,3.24,0.00,1.18,0.00,0.05
3.95,0.10,38.00,6.16,48.47,43.85,3.28,0.00,1.29,0.00,0.05
4.05,0.10,47.00,6.86,51.08,46.42,3.33,0.00,1.28,0.00,0.05
4.15,0.10,44.00,6.63,51.89,47.24,3.38,0.00,1.23,0.00,0.05
4.25,0.10,53.00,7.28,50.73,46.10,3.43,0.00,1.16,0.00,0.05
4.35,0.10,58.00,7.62,50.17,45.61,3.46,0.00,1.05,0.00,0.05
4.45,0.10,48.00,6.93,51.30,46.85,3.48,0.00,0.92,0.00,0.05
4.55,0.10,44.00,6.63,52.49,48.11,3.50,0.00,0.82,0.00,0.05
4.65,0.10,65.00,8.06,51.88,47.55,3.51,0.00,0.76,0.00,0.05
4.75,0.10,49.00,7.00,49.75,45.44,3.54,0.00,0.71,0.00,0.06
4.85,0.10,48.00,6.93,47.67,43.38,3.56,0.00,0.67,0.00,0.06
4.95,0.10,40.00,6.32,46.66,42.37,3.56,0.00,0.67,0.00,0.06
5.05,0.10,43.00,6.56,46.40,42.08,3.56,0.00,0.70,0.00,0.06
5.15,0.10,50.00,7.07,45.87,41.54,3.56,0.00,0.72,0.00,0.06
5.25,0.10,54.00,7.35,44.36,40.06,3.54,0.00,0.70,0.00,0.05
5.35,0.10,34.00,5.83,41.71,37.46,3.55,0.00,0.65,0.00,0.05
5.45,0.10,30.00,5.48,38.30,34.14,3.53,0.00,0.58,0.00,0.05
5.55,0.10,33.00,5.74,34.85,30.78,3.52,0.00,0.50,0.00,0.05
5.65,0.10,30.00,5.48,32.16,28.16,3.52,0.00,0.43,0.00,0.05
