True E (MeV),Full NL,Error Low,Error High
0.024,0.7966 ,-0.0181 ,0.0192 
0.048,0.8703 ,-0.0087 ,0.0085 
0.072,0.9039 ,-0.0039 ,0.0036 
0.096,0.9238 ,-0.0025 ,0.0024 
0.12,0.9370 ,-0.0041 ,0.0038 
0.144,0.9466 ,-0.0056 ,0.0051 
0.168,0.9540 ,-0.0067 ,0.0063 
0.192,0.9600 ,-0.0077 ,0.0072 
0.216,0.9653 ,-0.0083 ,0.0078 
0.24,0.9701 ,-0.0086 ,0.0082 
0.264,0.9745 ,-0.0088 ,0.0083 
0.288,0.9784 ,-0.0088 ,0.0084 
0.312,0.9820 ,-0.0088 ,0.0084 
0.336,0.9852 ,-0.0087 ,0.0083 
0.36,0.9882 ,-0.0085 ,0.0082 
0.384,0.9909 ,-0.0084 ,0.0081 
0.408,0.9934 ,-0.0082 ,0.0080 
0.432,0.9958 ,-0.0080 ,0.0078 
0.456,0.9980 ,-0.0078 ,0.0076 
0.48,1.0001 ,-0.0076 ,0.0075 
0.504,1.0020 ,-0.0074 ,0.0073 
0.528,1.0037 ,-0.0072 ,0.0072 
0.552,1.0055 ,-0.0070 ,0.0070 
0.576,1.0069 ,-0.0068 ,0.0068 
0.6,1.0086 ,-0.0067 ,0.0067 
0.624,1.0100 ,-0.0067 ,0.0067 
0.648,1.0113 ,-0.0066 ,0.0067 
0.672,1.0126 ,-0.0066 ,0.0067 
0.696,1.0138 ,-0.0065 ,0.0067 
0.72,1.0149 ,-0.0065 ,0.0067 
0.744,1.0161 ,-0.0064 ,0.0066 
0.768,1.0170 ,-0.0063 ,0.0066 
0.792,1.0180 ,-0.0063 ,0.0066 
0.816,1.0189 ,-0.0062 ,0.0066 
0.84,1.0200 ,-0.0062 ,0.0065 
0.864,1.0207 ,-0.0062 ,0.0065 
0.888,1.0215 ,-0.0062 ,0.0065 
0.912,1.0223 ,-0.0062 ,0.0065 
0.936,1.0230 ,-0.0062 ,0.0064 
0.96,1.0240 ,-0.0062 ,0.0064 
0.984,1.0245 ,-0.0062 ,0.0064 
1.008,1.0252 ,-0.0062 ,0.0064 
1.032,1.0258 ,-0.0063 ,0.0063 
1.056,1.0265 ,-0.0063 ,0.0063 
1.08,1.0270 ,-0.0063 ,0.0063 
1.104,1.0276 ,-0.0063 ,0.0063 
1.128,1.0282 ,-0.0063 ,0.0063 
1.152,1.0287 ,-0.0063 ,0.0063 
1.176,1.0292 ,-0.0063 ,0.0063 
1.2,1.0297 ,-0.0063 ,0.0063 
1.224,1.0302 ,-0.0063 ,0.0063 
1.248,1.0307 ,-0.0063 ,0.0063 
1.272,1.0311 ,-0.0063 ,0.0063 
1.296,1.0316 ,-0.0063 ,0.0063 
1.32,1.0320 ,-0.0063 ,0.0063 
1.344,1.0324 ,-0.0063 ,0.0063 
1.368,1.0328 ,-0.0063 ,0.0063 
1.392,1.0332 ,-0.0063 ,0.0063 
1.416,1.0336 ,-0.0063 ,0.0064 
1.44,1.0340 ,-0.0063 ,0.0064 
1.464,1.0343 ,-0.0063 ,0.0064 
1.488,1.0346 ,-0.0063 ,0.0064 
1.512,1.0349 ,-0.0063 ,0.0064 
1.536,1.0352 ,-0.0063 ,0.0065 
1.56,1.0355 ,-0.0063 ,0.0065 
1.584,1.0358 ,-0.0063 ,0.0065 
1.608,1.0361 ,-0.0063 ,0.0065 
1.632,1.0364 ,-0.0063 ,0.0065 
1.656,1.0367 ,-0.0063 ,0.0065 
1.68,1.0370 ,-0.0063 ,0.0065 
1.704,1.0373 ,-0.0063 ,0.0065 
1.728,1.0375 ,-0.0063 ,0.0066 
1.752,1.0377 ,-0.0063 ,0.0066 
1.776,1.0380 ,-0.0063 ,0.0066 
1.8,1.0382 ,-0.0062 ,0.0066 
1.824,1.0384 ,-0.0063 ,0.0066 
1.848,1.0386 ,-0.0063 ,0.0066 
1.872,1.0388 ,-0.0063 ,0.0066 
1.896,1.0390 ,-0.0063 ,0.0066 
1.92,1.0392 ,-0.0063 ,0.0066 
1.944,1.0394 ,-0.0063 ,0.0066 
1.968,1.0397 ,-0.0063 ,0.0066 
1.992,1.0399 ,-0.0064 ,0.0066 
2.016,1.0401 ,-0.0064 ,0.0066 
2.04,1.0402 ,-0.0064 ,0.0066 
2.064,1.0404 ,-0.0064 ,0.0066 
2.088,1.0406 ,-0.0064 ,0.0066 
2.112,1.0407 ,-0.0064 ,0.0066 
2.136,1.0409 ,-0.0064 ,0.0066 
2.16,1.0410 ,-0.0064 ,0.0066 
2.184,1.0412 ,-0.0064 ,0.0066 
2.208,1.0413 ,-0.0064 ,0.0066 
2.232,1.0415 ,-0.0064 ,0.0066 
2.256,1.0416 ,-0.0064 ,0.0066 
2.28,1.0417 ,-0.0064 ,0.0066 
2.304,1.0419 ,-0.0064 ,0.0066 
2.328,1.0420 ,-0.0064 ,0.0066 
2.352,1.0421 ,-0.0064 ,0.0066 
2.376,1.0422 ,-0.0064 ,0.0066 
2.4,1.0423 ,-0.0064 ,0.0066 
2.424,1.0425 ,-0.0065 ,0.0066 
2.448,1.0426 ,-0.0065 ,0.0066 
2.472,1.0427 ,-0.0065 ,0.0066 
2.496,1.0428 ,-0.0065 ,0.0066 
2.52,1.0430 ,-0.0065 ,0.0066 
2.544,1.0431 ,-0.0065 ,0.0066 
2.568,1.0432 ,-0.0065 ,0.0067 
2.592,1.0433 ,-0.0065 ,0.0067 
2.616,1.0434 ,-0.0065 ,0.0067 
2.64,1.0435 ,-0.0065 ,0.0067 
2.664,1.0436 ,-0.0065 ,0.0067 
2.688,1.0437 ,-0.0065 ,0.0067 
2.712,1.0438 ,-0.0065 ,0.0067 
2.736,1.0438 ,-0.0065 ,0.0067 
2.76,1.0439 ,-0.0065 ,0.0067 
2.784,1.0440 ,-0.0065 ,0.0067 
2.808,1.0441 ,-0.0065 ,0.0066 
2.832,1.0442 ,-0.0065 ,0.0066 
2.856,1.0443 ,-0.0065 ,0.0066 
2.88,1.0443 ,-0.0065 ,0.0066 
2.904,1.0444 ,-0.0065 ,0.0066 
2.928,1.0445 ,-0.0065 ,0.0066 
2.952,1.0446 ,-0.0065 ,0.0066 
2.976,1.0447 ,-0.0064 ,0.0066 
3,1.0447 ,-0.0064 ,0.0066 
3.024,1.0448 ,-0.0064 ,0.0066 
3.048,1.0449 ,-0.0064 ,0.0066 
3.072,1.0449 ,-0.0064 ,0.0066 
3.096,1.0450 ,-0.0064 ,0.0066 
3.12,1.0450 ,-0.0064 ,0.0066 
3.144,1.0451 ,-0.0064 ,0.0066 
3.168,1.0452 ,-0.0064 ,0.0066 
3.192,1.0452 ,-0.0064 ,0.0066 
3.216,1.0453 ,-0.0064 ,0.0066 
3.24,1.0453 ,-0.0064 ,0.0066 
3.264,1.0454 ,-0.0064 ,0.0066 
3.288,1.0454 ,-0.0064 ,0.0066 
3.312,1.0455 ,-0.0064 ,0.0066 
3.336,1.0455 ,-0.0064 ,0.0066 
3.36,1.0455 ,-0.0063 ,0.0065 
3.384,1.0456 ,-0.0063 ,0.0065 
3.408,1.0456 ,-0.0063 ,0.0065 
3.432,1.0457 ,-0.0063 ,0.0065 
3.456,1.0457 ,-0.0063 ,0.0065 
3.48,1.0457 ,-0.0063 ,0.0065 
3.504,1.0457 ,-0.0063 ,0.0065 
3.528,1.0458 ,-0.0063 ,0.0065 
3.552,1.0458 ,-0.0063 ,0.0065 
3.576,1.0458 ,-0.0063 ,0.0064 
3.6,1.0459 ,-0.0062 ,0.0064 
3.624,1.0459 ,-0.0062 ,0.0064 
3.648,1.0460 ,-0.0062 ,0.0064 
3.672,1.0460 ,-0.0062 ,0.0064 
3.696,1.0460 ,-0.0062 ,0.0064 
3.72,1.0461 ,-0.0062 ,0.0064 
3.744,1.0461 ,-0.0062 ,0.0064 
3.768,1.0462 ,-0.0062 ,0.0064 
3.792,1.0462 ,-0.0062 ,0.0064 
3.816,1.0463 ,-0.0062 ,0.0064 
3.84,1.0463 ,-0.0062 ,0.0064 
3.864,1.0463 ,-0.0062 ,0.0063 
3.888,1.0464 ,-0.0062 ,0.0063 
3.912,1.0464 ,-0.0061 ,0.0063 
3.936,1.0464 ,-0.0061 ,0.0063 
3.96,1.0465 ,-0.0061 ,0.0063 
3.984,1.0465 ,-0.0061 ,0.0063 
4.008,1.0465 ,-0.0061 ,0.0063 
4.032,1.0465 ,-0.0061 ,0.0063 
4.056,1.0466 ,-0.0061 ,0.0063 
4.08,1.0466 ,-0.0061 ,0.0063 
4.104,1.0466 ,-0.0061 ,0.0063 
4.128,1.0466 ,-0.0061 ,0.0063 
4.152,1.0467 ,-0.0060 ,0.0062 
4.176,1.0467 ,-0.0060 ,0.0062 
4.2,1.0467 ,-0.0060 ,0.0062 
4.224,1.0467 ,-0.0060 ,0.0062 
4.248,1.0468 ,-0.0060 ,0.0062 
4.272,1.0468 ,-0.0060 ,0.0062 
4.296,1.0468 ,-0.0060 ,0.0062 
4.32,1.0468 ,-0.0060 ,0.0062 
4.344,1.0468 ,-0.0060 ,0.0062 
4.368,1.0468 ,-0.0059 ,0.0062 
4.392,1.0469 ,-0.0059 ,0.0061 
4.416,1.0469 ,-0.0059 ,0.0061 
4.44,1.0469 ,-0.0059 ,0.0061 
4.464,1.0469 ,-0.0059 ,0.0061 
4.488,1.0469 ,-0.0059 ,0.0061 
4.512,1.0469 ,-0.0059 ,0.0061 
4.536,1.0469 ,-0.0059 ,0.0061 
4.56,1.0470 ,-0.0058 ,0.0061 
4.584,1.0470 ,-0.0058 ,0.0060 
4.608,1.0470 ,-0.0058 ,0.0060 
4.632,1.0470 ,-0.0058 ,0.0060 
4.656,1.0470 ,-0.0058 ,0.0060 
4.68,1.0470 ,-0.0058 ,0.0060 
4.704,1.0470 ,-0.0058 ,0.0060 
4.728,1.0470 ,-0.0058 ,0.0060 
4.752,1.0470 ,-0.0057 ,0.0059 
4.776,1.0470 ,-0.0057 ,0.0059 
4.8,1.0470 ,-0.0057 ,0.0059 
4.824,1.0470 ,-0.0057 ,0.0059 
4.848,1.0470 ,-0.0057 ,0.0059 
4.872,1.0470 ,-0.0057 ,0.0059 
4.896,1.0470 ,-0.0057 ,0.0059 
4.92,1.0470 ,-0.0056 ,0.0058 
4.944,1.0470 ,-0.0056 ,0.0058 
4.968,1.0470 ,-0.0056 ,0.0058 
4.992,1.0470 ,-0.0056 ,0.0058 
5.016,1.0470 ,-0.0056 ,0.0058 
5.04,1.0470 ,-0.0056 ,0.0058 
5.064,1.0470 ,-0.0056 ,0.0058 
5.088,1.0470 ,-0.0055 ,0.0057 
5.112,1.0470 ,-0.0055 ,0.0057 
5.136,1.0470 ,-0.0055 ,0.0057 
5.16,1.0470 ,-0.0055 ,0.0057 
5.184,1.0470 ,-0.0055 ,0.0057 
5.208,1.0470 ,-0.0055 ,0.0057 
5.232,1.0470 ,-0.0055 ,0.0057 
5.256,1.0470 ,-0.0054 ,0.0056 
5.28,1.0470 ,-0.0054 ,0.0056 
5.304,1.0470 ,-0.0054 ,0.0056 
5.328,1.0470 ,-0.0054 ,0.0056 
5.352,1.0470 ,-0.0054 ,0.0056 
5.376,1.0470 ,-0.0054 ,0.0056 
5.4,1.0470 ,-0.0054 ,0.0056 
5.424,1.0470 ,-0.0053 ,0.0056 
5.448,1.0470 ,-0.0053 ,0.0055 
5.472,1.0470 ,-0.0053 ,0.0055 
5.496,1.0470 ,-0.0053 ,0.0055 
5.52,1.0470 ,-0.0053 ,0.0055 
5.544,1.0470 ,-0.0053 ,0.0055 
5.568,1.0470 ,-0.0053 ,0.0055 
5.592,1.0470 ,-0.0052 ,0.0055 
5.616,1.0470 ,-0.0052 ,0.0054 
5.64,1.0470 ,-0.0052 ,0.0054 
5.664,1.0470 ,-0.0052 ,0.0054 
5.688,1.0470 ,-0.0052 ,0.0054 
5.712,1.0470 ,-0.0052 ,0.0054 
5.736,1.0470 ,-0.0052 ,0.0054 
5.76,1.0470 ,-0.0051 ,0.0054 
5.784,1.0470 ,-0.0051 ,0.0053 
5.808,1.0470 ,-0.0051 ,0.0053 
5.832,1.0470 ,-0.0051 ,0.0053 
5.856,1.0470 ,-0.0051 ,0.0053 
5.88,1.0470 ,-0.0051 ,0.0053 
5.904,1.0470 ,-0.0051 ,0.0053 
5.928,1.0470 ,-0.0051 ,0.0052 
5.952,1.0470 ,-0.0050 ,0.0052 
5.976,1.0470 ,-0.0050 ,0.0052 
6,1.0470 ,-0.0050 ,0.0052 
6.024,1.0470 ,-0.0050 ,0.0052 
6.048,1.0470 ,-0.0050 ,0.0052 
6.072,1.0470 ,-0.0050 ,0.0052 
6.096,1.0470 ,-0.0050 ,0.0051 
6.12,1.0470 ,-0.0049 ,0.0051 
6.144,1.0470 ,-0.0049 ,0.0051 
6.168,1.0469 ,-0.0049 ,0.0051 
6.192,1.0469 ,-0.0049 ,0.0051 
6.216,1.0469 ,-0.0049 ,0.0051 
6.24,1.0469 ,-0.0049 ,0.0050 
6.264,1.0469 ,-0.0049 ,0.0050 
6.288,1.0469 ,-0.0048 ,0.0050 
6.312,1.0469 ,-0.0048 ,0.0050 
6.336,1.0469 ,-0.0048 ,0.0050 
6.36,1.0469 ,-0.0048 ,0.0050 
6.384,1.0469 ,-0.0048 ,0.0050 
6.408,1.0469 ,-0.0048 ,0.0049 
6.432,1.0468 ,-0.0048 ,0.0049 
6.456,1.0468 ,-0.0047 ,0.0049 
6.48,1.0468 ,-0.0047 ,0.0049 
6.504,1.0468 ,-0.0047 ,0.0049 
6.528,1.0468 ,-0.0047 ,0.0049 
6.552,1.0468 ,-0.0047 ,0.0048 
6.576,1.0468 ,-0.0047 ,0.0048 
6.6,1.0468 ,-0.0047 ,0.0048 
6.624,1.0468 ,-0.0046 ,0.0048 
6.648,1.0468 ,-0.0046 ,0.0048 
6.672,1.0467 ,-0.0046 ,0.0048 
6.696,1.0467 ,-0.0046 ,0.0047 
6.72,1.0467 ,-0.0046 ,0.0047 
6.744,1.0467 ,-0.0046 ,0.0047 
6.768,1.0467 ,-0.0046 ,0.0047 
6.792,1.0467 ,-0.0045 ,0.0047 
6.816,1.0467 ,-0.0045 ,0.0047 
