True E (MeV),Full NL,Error Low,Error High
6.84,1.0467 ,-0.0045 ,0.0046 
6.864,1.0467 ,-0.0045 ,0.0046 
6.888,1.0466 ,-0.0045 ,0.0046 
6.912,1.0466 ,-0.0045 ,0.0046 
6.936,1.0466 ,-0.0045 ,0.0046 
6.96,1.0466 ,-0.0044 ,0.0046 
6.984,1.0466 ,-0.0044 ,0.0045 
7.008,1.0466 ,-0.0044 ,0.0045 
7.032,1.0466 ,-0.0044 ,0.0045 
7.056,1.0466 ,-0.0044 ,0.0045 
7.08,1.0466 ,-0.0044 ,0.0045 
7.104,1.0465 ,-0.0044 ,0.0045 
7.128,1.0465 ,-0.0043 ,0.0044 
7.152,1.0465 ,-0.0043 ,0.0044 
7.176,1.0465 ,-0.0043 ,0.0044 
7.2,1.0465 ,-0.0043 ,0.0044 
7.224,1.0465 ,-0.0043 ,0.0044 
7.248,1.0465 ,-0.0043 ,0.0044 
7.272,1.0465 ,-0.0042 ,0.0043 
7.296,1.0464 ,-0.0042 ,0.0043 
7.32,1.0464 ,-0.0042 ,0.0043 
7.344,1.0464 ,-0.0042 ,0.0043 
7.368,1.0464 ,-0.0042 ,0.0043 
7.392,1.0464 ,-0.0042 ,0.0043 
7.416,1.0464 ,-0.0042 ,0.0042 
7.44,1.0464 ,-0.0041 ,0.0042 
7.464,1.0463 ,-0.0041 ,0.0042 
7.488,1.0463 ,-0.0041 ,0.0042 
7.512,1.0463 ,-0.0041 ,0.0042 
7.536,1.0463 ,-0.0041 ,0.0042 
7.56,1.0463 ,-0.0041 ,0.0042 
7.584,1.0463 ,-0.0041 ,0.0041 
7.608,1.0463 ,-0.0040 ,0.0041 
7.632,1.0463 ,-0.0040 ,0.0041 
7.656,1.0462 ,-0.0040 ,0.0041 
7.68,1.0462 ,-0.0040 ,0.0041 
7.704,1.0462 ,-0.0040 ,0.0041 
7.728,1.0462 ,-0.0040 ,0.0040 
7.752,1.0462 ,-0.0040 ,0.0040 
7.776,1.0462 ,-0.0039 ,0.0040 
7.8,1.0462 ,-0.0039 ,0.0040 
7.824,1.0461 ,-0.0039 ,0.0040 
7.848,1.0461 ,-0.0039 ,0.0040 
7.872,1.0461 ,-0.0039 ,0.0039 
7.896,1.0461 ,-0.0039 ,0.0039 
7.92,1.0461 ,-0.0038 ,0.0039 
7.944,1.0461 ,-0.0038 ,0.0039 
7.968,1.0461 ,-0.0038 ,0.0039 
7.992,1.0460 ,-0.0038 ,0.0039 
8.016,1.0460 ,-0.0038 ,0.0038 
8.04,1.0460 ,-0.0038 ,0.0038 
8.064,1.0460 ,-0.0038 ,0.0038 
8.088,1.0460 ,-0.0037 ,0.0038 
8.112,1.0460 ,-0.0037 ,0.0038 
8.136,1.0459 ,-0.0037 ,0.0038 
8.16,1.0459 ,-0.0037 ,0.0037 
8.184,1.0459 ,-0.0037 ,0.0037 
8.208,1.0459 ,-0.0037 ,0.0037 
8.232,1.0459 ,-0.0037 ,0.0037 
8.256,1.0459 ,-0.0036 ,0.0037 
8.28,1.0458 ,-0.0036 ,0.0037 
8.304,1.0458 ,-0.0036 ,0.0036 
8.328,1.0458 ,-0.0036 ,0.0036 
8.352,1.0458 ,-0.0036 ,0.0036 
8.376,1.0458 ,-0.0036 ,0.0036 
8.4,1.0457 ,-0.0036 ,0.0036 
8.424,1.0457 ,-0.0036 ,0.0036 
8.448,1.0457 ,-0.0035 ,0.0035 
8.472,1.0457 ,-0.0035 ,0.0035 
8.496,1.0457 ,-0.0035 ,0.0035 
8.52,1.0457 ,-0.0035 ,0.0035 
8.544,1.0456 ,-0.0035 ,0.0035 
8.568,1.0456 ,-0.0035 ,0.0035 
8.592,1.0456 ,-0.0035 ,0.0035 
8.616,1.0456 ,-0.0034 ,0.0034 
8.64,1.0456 ,-0.0034 ,0.0034 
8.664,1.0456 ,-0.0034 ,0.0034 
8.688,1.0455 ,-0.0034 ,0.0034 
8.712,1.0455 ,-0.0034 ,0.0034 
8.736,1.0455 ,-0.0034 ,0.0034 
8.76,1.0455 ,-0.0034 ,0.0033 
8.784,1.0455 ,-0.0034 ,0.0033 
8.808,1.0454 ,-0.0033 ,0.0033 
8.832,1.0454 ,-0.0033 ,0.0033 
8.856,1.0454 ,-0.0033 ,0.0033 
8.88,1.0454 ,-0.0033 ,0.0033 
8.904,1.0454 ,-0.0033 ,0.0033 
8.928,1.0454 ,-0.0033 ,0.0032 
8.952,1.0453 ,-0.0033 ,0.0032 
8.976,1.0453 ,-0.0033 ,0.0032 
9,1.0453 ,-0.0032 ,0.0032 
9.024,1.0453 ,-0.0032 ,0.0032 
9.048,1.0453 ,-0.0032 ,0.0032 
9.072,1.0452 ,-0.0032 ,0.0032 
9.096,1.0452 ,-0.0032 ,0.0031 
9.12,1.0452 ,-0.0032 ,0.0031 
9.144,1.0452 ,-0.0032 ,0.0031 
9.168,1.0452 ,-0.0031 ,0.0031 
9.192,1.0452 ,-0.0031 ,0.0031 
9.216,1.0451 ,-0.0031 ,0.0031 
9.24,1.0451 ,-0.0031 ,0.0030 
9.264,1.0451 ,-0.0031 ,0.0030 
9.288,1.0451 ,-0.0031 ,0.0030 
9.312,1.0451 ,-0.0031 ,0.0030 
9.336,1.0450 ,-0.0031 ,0.0030 
9.36,1.0450 ,-0.0030 ,0.0030 
9.384,1.0450 ,-0.0030 ,0.0030 
9.408,1.0450 ,-0.0030 ,0.0030 
9.432,1.0450 ,-0.0030 ,0.0030 
9.456,1.0450 ,-0.0030 ,0.0029 
9.48,1.0449 ,-0.0030 ,0.0029 
9.504,1.0449 ,-0.0030 ,0.0029 
9.528,1.0449 ,-0.0030 ,0.0029 
9.552,1.0449 ,-0.0029 ,0.0029 
9.576,1.0449 ,-0.0029 ,0.0029 
9.6,1.0448 ,-0.0029 ,0.0029 
9.624,1.0448 ,-0.0029 ,0.0029 
9.648,1.0448 ,-0.0029 ,0.0028 
9.672,1.0448 ,-0.0029 ,0.0028 
9.696,1.0448 ,-0.0029 ,0.0028 
9.72,1.0448 ,-0.0028 ,0.0028 
9.744,1.0447 ,-0.0028 ,0.0028 
9.768,1.0447 ,-0.0028 ,0.0028 
9.792,1.0447 ,-0.0028 ,0.0028 
9.816,1.0447 ,-0.0028 ,0.0028 
9.84,1.0447 ,-0.0028 ,0.0028 
9.864,1.0446 ,-0.0028 ,0.0027 
9.888,1.0446 ,-0.0028 ,0.0027 
9.912,1.0446 ,-0.0027 ,0.0027 
9.936,1.0446 ,-0.0027 ,0.0027 
9.96,1.0446 ,-0.0027 ,0.0027 
9.984,1.0445 ,-0.0027 ,0.0027 
10.008,1.0445 ,-0.0027 ,0.0027 
10.032,1.0445 ,-0.0027 ,0.0027 
10.056,1.0445 ,-0.0027 ,0.0026 
10.08,1.0445 ,-0.0026 ,0.0026 
10.104,1.0444 ,-0.0026 ,0.0026 
10.128,1.0444 ,-0.0026 ,0.0026 
10.152,1.0444 ,-0.0026 ,0.0026 
10.176,1.0444 ,-0.0026 ,0.0026 
10.2,1.0444 ,-0.0026 ,0.0026 
10.224,1.0443 ,-0.0026 ,0.0026 
10.248,1.0443 ,-0.0025 ,0.0025 
10.272,1.0443 ,-0.0025 ,0.0025 
10.296,1.0443 ,-0.0025 ,0.0025 
10.32,1.0442 ,-0.0025 ,0.0025 
10.344,1.0442 ,-0.0025 ,0.0025 
10.368,1.0442 ,-0.0025 ,0.0025 
10.392,1.0442 ,-0.0025 ,0.0025 
10.416,1.0442 ,-0.0025 ,0.0025 
10.44,1.0441 ,-0.0025 ,0.0024 
10.464,1.0441 ,-0.0024 ,0.0024 
10.488,1.0441 ,-0.0024 ,0.0024 
10.512,1.0441 ,-0.0024 ,0.0024 
10.536,1.0440 ,-0.0024 ,0.0024 
10.56,1.0440 ,-0.0024 ,0.0024 
10.584,1.0440 ,-0.0024 ,0.0024 
10.608,1.0440 ,-0.0024 ,0.0023 
10.632,1.0440 ,-0.0024 ,0.0023 
10.656,1.0439 ,-0.0024 ,0.0023 
10.68,1.0439 ,-0.0024 ,0.0023 
10.704,1.0439 ,-0.0024 ,0.0023 
10.728,1.0439 ,-0.0024 ,0.0023 
10.752,1.0438 ,-0.0024 ,0.0023 
10.776,1.0438 ,-0.0024 ,0.0023 
10.8,1.0438 ,-0.0023 ,0.0023 
10.824,1.0438 ,-0.0023 ,0.0023 
10.848,1.0438 ,-0.0023 ,0.0023 
10.872,1.0437 ,-0.0023 ,0.0023 
10.896,1.0437 ,-0.0023 ,0.0023 
10.92,1.0437 ,-0.0023 ,0.0023 
10.944,1.0437 ,-0.0023 ,0.0023 
10.968,1.0436 ,-0.0023 ,0.0022 
10.992,1.0436 ,-0.0023 ,0.0022 
11.016,1.0436 ,-0.0023 ,0.0022 
11.04,1.0436 ,-0.0023 ,0.0022 
11.064,1.0436 ,-0.0023 ,0.0022 
11.088,1.0435 ,-0.0023 ,0.0022 
11.112,1.0435 ,-0.0023 ,0.0022 
11.136,1.0435 ,-0.0022 ,0.0022 
11.16,1.0435 ,-0.0022 ,0.0022 
11.184,1.0434 ,-0.0022 ,0.0022 
11.208,1.0434 ,-0.0022 ,0.0022 
11.232,1.0434 ,-0.0022 ,0.0022 
11.256,1.0434 ,-0.0022 ,0.0022 
11.28,1.0434 ,-0.0022 ,0.0022 
11.304,1.0433 ,-0.0022 ,0.0022 
11.328,1.0433 ,-0.0022 ,0.0022 
11.352,1.0433 ,-0.0022 ,0.0022 
11.376,1.0433 ,-0.0022 ,0.0022 
11.4,1.0432 ,-0.0022 ,0.0021 
11.424,1.0432 ,-0.0022 ,0.0021 
11.448,1.0432 ,-0.0022 ,0.0021 
11.472,1.0432 ,-0.0022 ,0.0021 
11.496,1.0432 ,-0.0022 ,0.0021 
11.52,1.0431 ,-0.0022 ,0.0021 
11.544,1.0431 ,-0.0021 ,0.0021 
11.568,1.0431 ,-0.0021 ,0.0021 
11.592,1.0431 ,-0.0021 ,0.0021 
11.616,1.0430 ,-0.0021 ,0.0021 
11.64,1.0430 ,-0.0021 ,0.0021 
11.664,1.0430 ,-0.0021 ,0.0021 
11.688,1.0430 ,-0.0021 ,0.0021 
11.712,1.0430 ,-0.0021 ,0.0021 
11.736,1.0429 ,-0.0021 ,0.0021 
11.76,1.0429 ,-0.0021 ,0.0021 
11.784,1.0429 ,-0.0021 ,0.0021 
11.808,1.0429 ,-0.0021 ,0.0020 
11.832,1.0428 ,-0.0021 ,0.0020 
11.856,1.0428 ,-0.0021 ,0.0020 
11.88,1.0428 ,-0.0021 ,0.0020 
11.904,1.0428 ,-0.0021 ,0.0020 
11.928,1.0427 ,-0.0021 ,0.0020 
11.952,1.0427 ,-0.0021 ,0.0020 
11.976,1.0427 ,-0.0021 ,0.0020 
12,1.0427 ,-0.0021 ,0.0020 
