# Fig.4
# This file contains Delta chi^2 versus Delta m^2_21 and sin^2(theta_12)
#
# Assume normal mass ordering
# Result of:
# "First measurement of reactor neutrino oscillations at JUNO"
#
Delta m^2_21 [x 10^{-5} eV^2],sin^2(theta_12),Delta chi^2
6.90000,0.26000,64.50600
6.90000,0.26101,63.10900
6.90000,0.26202,61.73600
6.90000,0.26303,60.38600
6.90000,0.26404,59.06100
6.90000,0.26505,57.75800
6.90000,0.26606,56.48100
6.90000,0.26707,55.22800
6.90000,0.26808,53.99800
6.90000,0.26909,52.79300
6.90000,0.27010,51.61200
6.90000,0.27111,50.45500
6.90000,0.27212,49.32200
6.90000,0.27313,48.21400
6.90000,0.27414,47.13200
6.90000,0.27515,46.07200
6.90000,0.27616,45.03700
6.90000,0.27717,44.02600
6.90000,0.27818,43.03900
6.90000,0.27919,42.07500
6.90000,0.28020,41.13700
6.90000,0.28121,40.22400
6.90000,0.28222,39.33500
6.90000,0.28323,38.47000
6.90000,0.28424,37.63000
6.90000,0.28525,36.81400
6.90000,0.28626,36.02300
6.90000,0.28727,35.25700
6.90000,0.28828,34.51400
6.90000,0.28929,33.79700
6.90000,0.29030,33.10300
6.90000,0.29131,32.43500
6.90000,0.29232,31.79000
6.90000,0.29333,31.17100
6.90000,0.29434,30.57500
6.90000,0.29535,30.00400
6.90000,0.29636,29.45800
6.90000,0.29737,28.93500
6.90000,0.29838,28.43800
6.90000,0.29939,27.96400
6.90000,0.30040,27.51500
6.90000,0.30141,27.09000
6.90000,0.30242,26.68900
6.90000,0.30343,26.31300
6.90000,0.30444,25.96000
6.90000,0.30545,25.63200
6.90000,0.30646,25.32800
6.90000,0.30747,25.04800
6.90000,0.30848,24.79200
6.90000,0.30949,24.56000
6.90000,0.31051,24.35100
6.90000,0.31152,24.16700
6.90000,0.31253,24.00600
6.90000,0.31354,23.86900
6.90000,0.31455,23.75600
6.90000,0.31556,23.66600
6.90000,0.31657,23.59900
6.90000,0.31758,23.55600
6.90000,0.31859,23.53600
6.90000,0.31960,23.54000
6.90000,0.32061,23.56600
6.90000,0.32162,23.61600
6.90000,0.32263,23.68900
6.90000,0.32364,23.78400
6.90000,0.32465,23.90200
6.90000,0.32566,24.04300
6.90000,0.32667,24.20600
6.90000,0.32768,24.39200
6.90000,0.32869,24.60000
6.90000,0.32970,24.83100
6.90000,0.33071,25.08300
6.90000,0.33172,25.35700
6.90000,0.33273,25.65300
6.90000,0.33374,25.97100
6.90000,0.33475,26.31000
6.90000,0.33576,26.67100
6.90000,0.33677,27.05300
6.90000,0.33778,27.45600
6.90000,0.33879,27.88000
6.90000,0.33980,28.32500
6.90000,0.34081,28.79100
6.90000,0.34182,29.27600
6.90000,0.34283,29.78300
6.90000,0.34384,30.31000
6.90000,0.34485,30.85600
6.90000,0.34586,31.42200
6.90000,0.34687,32.00800
6.90000,0.34788,32.61300
6.90000,0.34889,33.23700
6.90000,0.34990,33.88100
6.90000,0.35091,34.54200
6.90000,0.35192,35.22300
6.90000,0.35293,35.92200
6.90000,0.35394,36.64000
6.90000,0.35495,37.37500
6.90000,0.35596,38.12800
6.90000,0.35697,38.89900
6.90000,0.35798,39.68700
6.90000,0.35899,40.49200
6.90000,0.36000,41.31400
6.91210,0.26000,63.48700
6.91210,0.26101,62.09000
6.91210,0.26202,60.71700
6.91210,0.26303,59.36800
6.91210,0.26404,58.04300
6.91210,0.26505,56.74100
6.91210,0.26606,55.46300
6.91210,0.26707,54.21000
6.91210,0.26808,52.98200
6.91210,0.26909,51.77700
6.91210,0.27010,50.59700
6.91210,0.27111,49.44300
6.91210,0.27212,48.30900
6.91210,0.27313,47.20300
6.91210,0.27414,46.12000
6.91210,0.27515,45.06100
6.91210,0.27616,44.02700
6.91210,0.27717,43.01700
6.91210,0.27818,42.03000
6.91210,0.27919,41.06900
6.91210,0.28020,40.13300
6.91210,0.28121,39.22100
6.91210,0.28222,38.33400
6.91210,0.28323,37.47100
6.91210,0.28424,36.63200
6.91210,0.28525,35.81900
6.91210,0.28626,35.03000
6.91210,0.28727,34.26500
6.91210,0.28828,33.52500
6.91210,0.28929,32.81000
6.91210,0.29030,32.11900
6.91210,0.29131,31.45200
6.91210,0.29232,30.81100
6.91210,0.29333,30.19300
6.91210,0.29434,29.60100
6.91210,0.29535,29.03200
6.91210,0.29636,28.48900
6.91210,0.29737,27.96900
6.91210,0.29838,27.47500
6.91210,0.29939,27.00400
6.91210,0.30040,26.55800
6.91210,0.30141,26.13700
6.91210,0.30242,25.73900
6.91210,0.30343,25.36600
6.91210,0.30444,25.01800
6.91210,0.30545,24.69300
6.91210,0.30646,24.39300
6.91210,0.30747,24.11700
6.91210,0.30848,23.86500
6.91210,0.30949,23.63700
6.91210,0.31051,23.43300
6.91210,0.31152,23.25200
6.91210,0.31253,23.09600
6.91210,0.31354,22.96300
6.91210,0.31455,22.85500
6.91210,0.31556,22.76900
6.91210,0.31657,22.70800
6.91210,0.31758,22.66900
6.91210,0.31859,22.65500
6.91210,0.31960,22.66300
6.91210,0.32061,22.69500
6.91210,0.32162,22.75000
6.91210,0.32263,22.82800
6.91210,0.32364,22.92900
6.91210,0.32465,23.05300
6.91210,0.32566,23.20000
6.91210,0.32667,23.36900
6.91210,0.32768,23.56000
6.91210,0.32869,23.77500
6.91210,0.32970,24.01100
6.91210,0.33071,24.27000
6.91210,0.33172,24.55000
6.91210,0.33273,24.85300
6.91210,0.33374,25.17700
6.91210,0.33475,25.52300
6.91210,0.33576,25.89100
6.91210,0.33677,26.28000
6.91210,0.33778,26.69000
6.91210,0.33879,27.12100
6.91210,0.33980,27.57300
6.91210,0.34081,28.04600
6.91210,0.34182,28.53900
6.91210,0.34283,29.05400
6.91210,0.34384,29.58800
6.91210,0.34485,30.14200
6.91210,0.34586,30.71600
6.91210,0.34687,31.31000
6.91210,0.34788,31.92300
6.91210,0.34889,32.55500
6.91210,0.34990,33.20700
6.91210,0.35091,33.87700
6.91210,0.35192,34.56600
6.91210,0.35293,35.27400
6.91210,0.35394,36.00000
6.91210,0.35495,36.74400
6.91210,0.35596,37.50600
6.91210,0.35697,38.28600
6.91210,0.35798,39.08300
6.91210,0.35899,39.89700
6.91210,0.36000,40.72900
6.92420,0.26000,62.48300
6.92420,0.26101,61.08600
6.92420,0.26202,59.71200
6.92420,0.26303,58.36300
6.92420,0.26404,57.03800
6.92420,0.26505,55.73700
6.92420,0.26606,54.46000
6.92420,0.26707,53.20700
6.92420,0.26808,51.97900
6.92420,0.26909,50.77500
6.92420,0.27010,49.59800
6.92420,0.27111,48.44000
6.92420,0.27212,47.31200
6.92420,0.27313,46.20500
6.92420,0.27414,45.12300
6.92420,0.27515,44.06500
6.92420,0.27616,43.03200
6.92420,0.27717,42.02300
6.92420,0.27818,41.03700
6.92420,0.27919,40.07800
6.92420,0.28020,39.14300
6.92420,0.28121,38.23300
6.92420,0.28222,37.34700
6.92420,0.28323,36.48600
6.92420,0.28424,35.64900
6.92420,0.28525,34.83800
6.92420,0.28626,34.05100
6.92420,0.28727,33.28800
6.92420,0.28828,32.55000
6.92420,0.28929,31.83700
6.92420,0.29030,31.14800
6.92420,0.29131,30.48400
6.92420,0.29232,29.84500
6.92420,0.29333,29.23100
6.92420,0.29434,28.64100
6.92420,0.29535,28.07500
6.92420,0.29636,27.53400
6.92420,0.29737,27.01800
6.92420,0.29838,26.52600
6.92420,0.29939,26.05900
6.92420,0.30040,25.61600
6.92420,0.30141,25.19800
6.92420,0.30242,24.80400
6.92420,0.30343,24.43500
6.92420,0.30444,24.09000
6.92420,0.30545,23.76900
6.92420,0.30646,23.47300
6.92420,0.30747,23.20000
6.92420,0.30848,22.95200
6.92420,0.30949,22.72800
6.92420,0.31051,22.52800
6.92420,0.31152,22.35200
6.92420,0.31253,22.20100
6.92420,0.31354,22.07200
6.92420,0.31455,21.96800
6.92420,0.31556,21.88800
6.92420,0.31657,21.83100
6.92420,0.31758,21.79800
6.92420,0.31859,21.78800
6.92420,0.31960,21.80200
6.92420,0.32061,21.83900
6.92420,0.32162,21.89900
6.92420,0.32263,21.98200
6.92420,0.32364,22.08900
6.92420,0.32465,22.21800
6.92420,0.32566,22.37100
6.92420,0.32667,22.54600
6.92420,0.32768,22.74300
6.92420,0.32869,22.96400
6.92420,0.32970,23.20600
6.92420,0.33071,23.47100
6.92420,0.33172,23.75800
6.92420,0.33273,24.06700
6.92420,0.33374,24.39800
6.92420,0.33475,24.75100
6.92420,0.33576,25.12500
6.92420,0.33677,25.52100
6.92420,0.33778,25.93800
6.92420,0.33879,26.37600
6.92420,0.33980,26.83600
6.92420,0.34081,27.31600
6.92420,0.34182,27.81700
6.92420,0.34283,28.33900
6.92420,0.34384,28.88000
6.92420,0.34485,29.44200
6.92420,0.34586,30.02400
6.92420,0.34687,30.62600
6.92420,0.34788,31.24700
6.92420,0.34889,31.88700
6.92420,0.34990,32.54700
6.92420,0.35091,33.22600
6.92420,0.35192,33.92400
6.92420,0.35293,34.64000
6.92420,0.35394,35.37500
6.92420,0.35495,36.12800
6.92420,0.35596,36.89900
6.92420,0.35697,37.68800
6.92420,0.35798,38.49400
6.92420,0.35899,39.31700
6.92420,0.36000,40.15800
6.93640,0.26000,61.49200
6.93640,0.26101,60.09500
6.93640,0.26202,58.72200
6.93640,0.26303,57.37300
6.93640,0.26404,56.04800
6.93640,0.26505,54.74700
6.93640,0.26606,53.47100
6.93640,0.26707,52.21900
6.93640,0.26808,50.99100
6.93640,0.26909,49.78800
6.93640,0.27010,48.60900
6.93640,0.27111,47.45700
6.93640,0.27212,46.32600
6.93640,0.27313,45.22100
6.93640,0.27414,44.14000
6.93640,0.27515,43.08300
6.93640,0.27616,42.05100
6.93640,0.27717,41.04200
6.93640,0.27818,40.05900
6.93640,0.27919,39.10100
6.93640,0.28020,38.16800
6.93640,0.28121,37.25900
6.93640,0.28222,36.37500
6.93640,0.28323,35.51600
6.93640,0.28424,34.68100
6.93640,0.28525,33.87100
6.93640,0.28626,33.08600
6.93640,0.28727,32.32600
6.93640,0.28828,31.59000
6.93640,0.28929,30.87900
6.93640,0.29030,30.19300
6.93640,0.29131,29.53100
6.93640,0.29232,28.89500
6.93640,0.29333,28.28300
6.93640,0.29434,27.69500
6.93640,0.29535,27.13300
6.93640,0.29636,26.59500
6.93640,0.29737,26.08100
6.93640,0.29838,25.59300
6.93640,0.29939,25.12900
6.93640,0.30040,24.68900
6.93640,0.30141,24.27400
6.93640,0.30242,23.88400
6.93640,0.30343,23.51800
6.93640,0.30444,23.17700
6.93640,0.30545,22.86000
6.93640,0.30646,22.56700
6.93640,0.30747,22.29900
6.93640,0.30848,22.05500
6.93640,0.30949,21.83500
6.93640,0.31051,21.63900
6.93640,0.31152,21.46800
6.93640,0.31253,21.32000
6.93640,0.31354,21.19600
6.93640,0.31455,21.09700
6.93640,0.31556,21.02100
6.93640,0.31657,20.96900
6.93640,0.31758,20.94100
6.93640,0.31859,20.93600
6.93640,0.31960,20.95500
6.93640,0.32061,20.99700
6.93640,0.32162,21.06300
6.93640,0.32263,21.15200
6.93640,0.32364,21.26400
6.93640,0.32465,21.39900
6.93640,0.32566,21.55700
6.93640,0.32667,21.73800
6.93640,0.32768,21.94100
6.93640,0.32869,22.16800
6.93640,0.32970,22.41600
6.93640,0.33071,22.68800
6.93640,0.33172,22.98100
6.93640,0.33273,23.29700
6.93640,0.33374,23.63400
6.93640,0.33475,23.99400
6.93640,0.33576,24.37500
6.93640,0.33677,24.77700
6.93640,0.33778,25.20100
6.93640,0.33879,25.64700
6.93640,0.33980,26.11300
6.93640,0.34081,26.60200
6.93640,0.34182,27.11000
6.93640,0.34283,27.63900
6.93640,0.34384,28.18800
6.93640,0.34485,28.75800
6.93640,0.34586,29.34800
6.93640,0.34687,29.95600
6.93640,0.34788,30.58600
6.93640,0.34889,31.23500
6.93640,0.34990,31.90300
6.93640,0.35091,32.59000
6.93640,0.35192,33.29700
6.93640,0.35293,34.02200
6.93640,0.35394,34.76500
6.93640,0.35495,35.52700
6.93640,0.35596,36.30700
6.93640,0.35697,37.10400
6.93640,0.35798,37.92000
6.93640,0.35899,38.75200
6.93640,0.36000,39.60200
6.94850,0.26000,60.51500
6.94850,0.26101,59.11900
6.94850,0.26202,57.74600
6.94850,0.26303,56.39700
6.94850,0.26404,55.07200
6.94850,0.26505,53.77200
6.94850,0.26606,52.49600
6.94850,0.26707,51.24500
6.94850,0.26808,50.01800
6.94850,0.26909,48.81500
6.94850,0.27010,47.63900
6.94850,0.27111,46.48500
6.94850,0.27212,45.35600
6.94850,0.27313,44.25100
6.94850,0.27414,43.17100
6.94850,0.27515,42.11600
6.94850,0.27616,41.08500
6.94850,0.27717,40.07700
6.94850,0.27818,39.09600
6.94850,0.27919,38.13900
6.94850,0.28020,37.20700
6.94850,0.28121,36.30000
6.94850,0.28222,35.41800
6.94850,0.28323,34.56000
6.94850,0.28424,33.72800
6.94850,0.28525,32.92000
6.94850,0.28626,32.13700
6.94850,0.28727,31.37800
6.94850,0.28828,30.64500
6.94850,0.28929,29.93600
6.94850,0.29030,29.25200
6.94850,0.29131,28.59300
6.94850,0.29232,27.95900
6.94850,0.29333,27.35000
6.94850,0.29434,26.76500
6.94850,0.29535,26.20500
6.94850,0.29636,25.67000
6.94850,0.29737,25.16000
6.94850,0.29838,24.67400
6.94850,0.29939,24.21300
6.94850,0.30040,23.77700
6.94850,0.30141,23.36600
6.94850,0.30242,22.97900
6.94850,0.30343,22.61600
6.94850,0.30444,22.27900
6.94850,0.30545,21.96500
6.94850,0.30646,21.67700
6.94850,0.30747,21.41200
6.94850,0.30848,21.17200
6.94850,0.30949,20.95600
6.94850,0.31051,20.76500
6.94850,0.31152,20.59800
6.94850,0.31253,20.45500
6.94850,0.31354,20.33600
6.94850,0.31455,20.24100
6.94850,0.31556,20.16900
6.94850,0.31657,20.12200
6.94850,0.31758,20.09900
6.94850,0.31859,20.09900
6.94850,0.31960,20.12300
6.94850,0.32061,20.17100
6.94850,0.32162,20.24200
6.94850,0.32263,20.33600
6.94850,0.32364,20.45400
6.94850,0.32465,20.59400
6.94850,0.32566,20.75800
6.94850,0.32667,20.94500
6.94850,0.32768,21.15400
6.94850,0.32869,21.38700
6.94850,0.32970,21.64200
6.94850,0.33071,21.91900
6.94850,0.33172,22.21900
6.94850,0.33273,22.54100
6.94850,0.33374,22.88500
6.94850,0.33475,23.25100
6.94850,0.33576,23.63900
6.94850,0.33677,24.04900
6.94850,0.33778,24.48000
6.94850,0.33879,24.93200
6.94850,0.33980,25.40700
6.94850,0.34081,25.90200
6.94850,0.34182,26.41700
6.94850,0.34283,26.95400
6.94850,0.34384,27.51100
6.94850,0.34485,28.08800
6.94850,0.34586,28.68600
6.94850,0.34687,29.30400
6.94850,0.34788,29.94000
6.94850,0.34889,30.59700
6.94850,0.34990,31.27400
6.94850,0.35091,31.96900
6.94850,0.35192,32.68400
6.94850,0.35293,33.41800
6.94850,0.35394,34.17000
6.94850,0.35495,34.94100
6.94850,0.35596,35.72900
6.94850,0.35697,36.53600
6.94850,0.35798,37.36000
6.94850,0.35899,38.20200
6.94850,0.36000,39.06100
6.96060,0.26000,59.55300
6.96060,0.26101,58.15700
6.96060,0.26202,56.78400
6.96060,0.26303,55.43600
6.96060,0.26404,54.11100
6.96060,0.26505,52.81100
6.96060,0.26606,51.53600
6.96060,0.26707,50.28500
6.96060,0.26808,49.05900
6.96060,0.26909,47.85700
6.96060,0.27010,46.68100
6.96060,0.27111,45.52800
6.96060,0.27212,44.40000
6.96060,0.27313,43.29600
6.96060,0.27414,42.21700
6.96060,0.27515,41.16300
6.96060,0.27616,40.13300
6.96060,0.27717,39.12700
6.96060,0.27818,38.14700
6.96060,0.27919,37.19200
6.96060,0.28020,36.26200
6.96060,0.28121,35.35600
6.96060,0.28222,34.47600
6.96060,0.28323,33.62000
6.96060,0.28424,32.78900
6.96060,0.28525,31.98300
6.96060,0.28626,31.20200
6.96060,0.28727,30.44600
6.96060,0.28828,29.71500
6.96060,0.28929,29.00800
6.96060,0.29030,28.32700
6.96060,0.29131,27.67000
6.96060,0.29232,27.03800
6.96060,0.29333,26.43200
6.96060,0.29434,25.85000
6.96060,0.29535,25.29300
6.96060,0.29636,24.76100
6.96060,0.29737,24.25300
6.96060,0.29838,23.77100
6.96060,0.29939,23.31300
6.96060,0.30040,22.88000
6.96060,0.30141,22.47200
6.96060,0.30242,22.08900
6.96060,0.30343,21.73000
6.96060,0.30444,21.39600
6.96060,0.30545,21.08600
6.96060,0.30646,20.80100
6.96060,0.30747,20.54100
6.96060,0.30848,20.30500
6.96060,0.30949,20.09300
6.96060,0.31051,19.90600
6.96060,0.31152,19.74300
6.96060,0.31253,19.60500
6.96060,0.31354,19.49000
6.96060,0.31455,19.40000
6.96060,0.31556,19.33300
6.96060,0.31657,19.29100
6.96060,0.31758,19.27200
6.96060,0.31859,19.27800
6.96060,0.31960,19.30700
6.96060,0.32061,19.36000
6.96060,0.32162,19.43600
6.96060,0.32263,19.53600
6.96060,0.32364,19.65900
6.96060,0.32465,19.80500
6.96060,0.32566,19.97500
6.96060,0.32667,20.16700
6.96060,0.32768,20.38300
6.96060,0.32869,20.62100
6.96060,0.32970,20.88200
6.96060,0.33071,21.16600
6.96060,0.33172,21.47200
6.96060,0.33273,21.80100
6.96060,0.33374,22.15200
6.96060,0.33475,22.52400
6.96060,0.33576,22.91900
6.96060,0.33677,23.33600
6.96060,0.33778,23.77400
6.96060,0.33879,24.23400
6.96060,0.33980,24.71500
6.96060,0.34081,25.21700
6.96060,0.34182,25.74000
6.96060,0.34283,26.28400
6.96060,0.34384,26.84900
6.96060,0.34485,27.43300
6.96060,0.34586,28.03900
6.96060,0.34687,28.66400
6.96060,0.34788,29.31000
6.96060,0.34889,29.97500
6.96060,0.34990,30.66000
6.96060,0.35091,31.36400
6.96060,0.35192,32.08700
6.96060,0.35293,32.82900
6.96060,0.35394,33.59000
6.96060,0.35495,34.37000
6.96060,0.35596,35.16700
6.96060,0.35697,35.98300
6.96060,0.35798,36.81600
6.96060,0.35899,37.66700
6.96060,0.36000,38.53600
6.97270,0.26000,58.60600
6.97270,0.26101,57.20900
6.97270,0.26202,55.83700
6.97270,0.26303,54.48900
6.97270,0.26404,53.16500
6.97270,0.26505,51.86500
6.97270,0.26606,50.59000
6.97270,0.26707,49.34000
6.97270,0.26808,48.11400
6.97270,0.26909,46.91500
6.97270,0.27010,45.73900
6.97270,0.27111,44.58700
6.97270,0.27212,43.45900
6.97270,0.27313,42.35600
6.97270,0.27414,41.27900
6.97270,0.27515,40.22500
6.97270,0.27616,39.19600
6.97270,0.27717,38.19200
6.97270,0.27818,37.21400
6.97270,0.27919,36.26000
6.97270,0.28020,35.33100
6.97270,0.28121,34.42700
6.97270,0.28222,33.54900
6.97270,0.28323,32.69500
6.97270,0.28424,31.86600
6.97270,0.28525,31.06200
6.97270,0.28626,30.28300
6.97270,0.28727,29.52900
6.97270,0.28828,28.79900
6.97270,0.28929,28.09500
6.97270,0.29030,27.41600
6.97270,0.29131,26.76200
6.97270,0.29232,26.13300
6.97270,0.29333,25.52900
6.97270,0.29434,24.95000
6.97270,0.29535,24.39600
6.97270,0.29636,23.86700
6.97270,0.29737,23.36200
6.97270,0.29838,22.88300
6.97270,0.29939,22.42900
6.97270,0.30040,21.99900
6.97270,0.30141,21.59400
6.97270,0.30242,21.21400
6.97270,0.30343,20.85900
6.97270,0.30444,20.52900
6.97270,0.30545,20.22300
6.97270,0.30646,19.94200
6.97270,0.30747,19.68500
6.97270,0.30848,19.45300
6.97270,0.30949,19.24600
6.97270,0.31051,19.06300
6.97270,0.31152,18.90400
6.97270,0.31253,18.77000
6.97270,0.31354,18.66000
6.97270,0.31455,18.57400
6.97270,0.31556,18.51300
6.97270,0.31657,18.47500
6.97270,0.31758,18.46200
6.97270,0.31859,18.47200
6.97270,0.31960,18.50600
6.97270,0.32061,18.56400
6.97270,0.32162,18.64600
6.97270,0.32263,18.75100
6.97270,0.32364,18.88000
6.97270,0.32465,19.03200
6.97270,0.32566,19.20700
6.97270,0.32667,19.40500
6.97270,0.32768,19.62700
6.97270,0.32869,19.87100
6.97270,0.32970,20.13900
6.97270,0.33071,20.42900
6.97270,0.33172,20.74100
6.97270,0.33273,21.07600
6.97270,0.33374,21.43300
6.97270,0.33475,21.81300
6.97270,0.33576,22.21400
6.97270,0.33677,22.63800
6.97270,0.33778,23.08400
6.97270,0.33879,23.55000
6.97270,0.33980,24.03900
6.97270,0.34081,24.54800
6.97270,0.34182,25.07900
6.97270,0.34283,25.63000
6.97270,0.34384,26.20200
6.97270,0.34485,26.79500
6.97270,0.34586,27.40800
6.97270,0.34687,28.04200
6.97270,0.34788,28.69500
6.97270,0.34889,29.36900
6.97270,0.34990,30.06200
6.97270,0.35091,30.77400
6.97270,0.35192,31.50600
6.97270,0.35293,32.25600
6.97270,0.35394,33.02600
6.97270,0.35495,33.81400
6.97270,0.35596,34.62100
6.97270,0.35697,35.44500
6.97270,0.35798,36.28800
6.97270,0.35899,37.14800
6.97270,0.36000,38.02600
6.98480,0.26000,57.67300
6.98480,0.26101,56.27700
6.98480,0.26202,54.90500
6.98480,0.26303,53.55600
6.98480,0.26404,52.23300
6.98480,0.26505,50.93400
6.98480,0.26606,49.66000
6.98480,0.26707,48.41000
6.98480,0.26808,47.18500
6.98480,0.26909,45.98700
6.98480,0.27010,44.81100
6.98480,0.27111,43.66000
6.98480,0.27212,42.53300
6.98480,0.27313,41.43200
6.98480,0.27414,40.35500
6.98480,0.27515,39.30300
6.98480,0.27616,38.27500
6.98480,0.27717,37.27200
6.98480,0.27818,36.29500
6.98480,0.27919,35.34300
6.98480,0.28020,34.41600
6.98480,0.28121,33.51400
6.98480,0.28222,32.63700
6.98480,0.28323,31.78500
6.98480,0.28424,30.95700
6.98480,0.28525,30.15600
6.98480,0.28626,29.37800
6.98480,0.28727,28.62700
6.98480,0.28828,27.90000
6.98480,0.28929,27.19800
6.98480,0.29030,26.52100
6.98480,0.29131,25.87000
6.98480,0.29232,25.24300
6.98480,0.29333,24.64200
6.98480,0.29434,24.06600
6.98480,0.29535,23.51400
6.98480,0.29636,22.98800
6.98480,0.29737,22.48700
6.98480,0.29838,22.01100
6.98480,0.29939,21.55900
6.98480,0.30040,21.13300
6.98480,0.30141,20.73200
6.98480,0.30242,20.35500
6.98480,0.30343,20.00400
6.98480,0.30444,19.67700
6.98480,0.30545,19.37500
6.98480,0.30646,19.09800
6.98480,0.30747,18.84500
6.98480,0.30848,18.61700
6.98480,0.30949,18.41400
6.98480,0.31051,18.23500
6.98480,0.31152,18.08100
6.98480,0.31253,17.95100
6.98480,0.31354,17.84600
6.98480,0.31455,17.76400
6.98480,0.31556,17.70800
6.98480,0.31657,17.67500
6.98480,0.31758,17.66600
6.98480,0.31859,17.68200
6.98480,0.31960,17.72100
6.98480,0.32061,17.78400
6.98480,0.32162,17.87100
6.98480,0.32263,17.98200
6.98480,0.32364,18.11600
6.98480,0.32465,18.27400
6.98480,0.32566,18.45500
6.98480,0.32667,18.65900
6.98480,0.32768,18.88700
6.98480,0.32869,19.13700
6.98480,0.32970,19.41100
6.98480,0.33071,19.70700
6.98480,0.33172,20.02600
6.98480,0.33273,20.36700
6.98480,0.33374,20.73200
6.98480,0.33475,21.11700
6.98480,0.33576,21.52600
6.98480,0.33677,21.95700
6.98480,0.33778,22.40900
6.98480,0.33879,22.88300
6.98480,0.33980,23.37800
6.98480,0.34081,23.89500
6.98480,0.34182,24.43200
6.98480,0.34283,24.99100
6.98480,0.34384,25.57100
6.98480,0.34485,26.17200
6.98480,0.34586,26.79300
6.98480,0.34687,27.43500
6.98480,0.34788,28.09600
6.98480,0.34889,28.77800
6.98480,0.34990,29.47900
6.98480,0.35091,30.20000
6.98480,0.35192,30.94000
6.98480,0.35293,31.69900
6.98480,0.35394,32.47800
6.98480,0.35495,33.27400
6.98480,0.35596,34.09000
6.98480,0.35697,34.92300
6.98480,0.35798,35.77500
6.98480,0.35899,36.64400
6.98480,0.36000,37.53100
6.99700,0.26000,56.75500
6.99700,0.26101,55.35900
6.99700,0.26202,53.98700
6.99700,0.26303,52.63900
6.99700,0.26404,51.31600
6.99700,0.26505,50.01800
6.99700,0.26606,48.74400
6.99700,0.26707,47.49700
6.99700,0.26808,46.27300
6.99700,0.26909,45.07300
6.99700,0.27010,43.89800
6.99700,0.27111,42.74800
6.99700,0.27212,41.62300
6.99700,0.27313,40.52200
6.99700,0.27414,39.44600
6.99700,0.27515,38.39400
6.99700,0.27616,37.36900
6.99700,0.27717,36.36800
6.99700,0.27818,35.39200
6.99700,0.27919,34.44200
6.99700,0.28020,33.51600
6.99700,0.28121,32.61600
6.99700,0.28222,31.74000
6.99700,0.28323,30.89000
6.99700,0.28424,30.06500
6.99700,0.28525,29.26500
6.99700,0.28626,28.49000
6.99700,0.28727,27.74000
6.99700,0.28828,27.01600
6.99700,0.28929,26.31600
6.99700,0.29030,25.64200
6.99700,0.29131,24.99300
6.99700,0.29232,24.36900
6.99700,0.29333,23.77100
6.99700,0.29434,23.19700
6.99700,0.29535,22.64900
6.99700,0.29636,22.12500
6.99700,0.29737,21.62700
6.99700,0.29838,21.15400
6.99700,0.29939,20.70600
6.99700,0.30040,20.28300
6.99700,0.30141,19.88500
6.99700,0.30242,19.51200
6.99700,0.30343,19.16400
6.99700,0.30444,18.84100
6.99700,0.30545,18.54300
6.99700,0.30646,18.26900
6.99700,0.30747,18.02100
6.99700,0.30848,17.79700
6.99700,0.30949,17.59800
6.99700,0.31051,17.42300
6.99700,0.31152,17.27300
6.99700,0.31253,17.14800
6.99700,0.31354,17.04700
6.99700,0.31455,16.97100
6.99700,0.31556,16.91900
6.99700,0.31657,16.89100
6.99700,0.31758,16.88700
6.99700,0.31859,16.90700
6.99700,0.31960,16.95200
6.99700,0.32061,17.02000
6.99700,0.32162,17.11300
6.99700,0.32263,17.22900
6.99700,0.32364,17.36900
6.99700,0.32465,17.53200
6.99700,0.32566,17.71900
6.99700,0.32667,17.92900
6.99700,0.32768,18.16200
6.99700,0.32869,18.41900
6.99700,0.32970,18.69900
6.99700,0.33071,19.00100
6.99700,0.33172,19.32700
6.99700,0.33273,19.67400
6.99700,0.33374,20.04500
6.99700,0.33475,20.43800
6.99700,0.33576,20.85400
6.99700,0.33677,21.29100
6.99700,0.33778,21.75000
6.99700,0.33879,22.23100
6.99700,0.33980,22.73400
6.99700,0.34081,23.25800
6.99700,0.34182,23.80400
6.99700,0.34283,24.36900
6.99700,0.34384,24.95700
6.99700,0.34485,25.56500
6.99700,0.34586,26.19400
6.99700,0.34687,26.84400
6.99700,0.34788,27.51300
6.99700,0.34889,28.20300
6.99700,0.34990,28.91300
6.99700,0.35091,29.64200
6.99700,0.35192,30.39000
6.99700,0.35293,31.15800
6.99700,0.35394,31.94500
6.99700,0.35495,32.75100
6.99700,0.35596,33.57500
6.99700,0.35697,34.41700
6.99700,0.35798,35.27800
6.99700,0.35899,36.15700
6.99700,0.36000,37.05300
7.00910,0.26000,55.85200
7.00910,0.26101,54.45600
7.00910,0.26202,53.08500
7.00910,0.26303,51.73700
7.00910,0.26404,50.41500
7.00910,0.26505,49.11700
7.00910,0.26606,47.84400
7.00910,0.26707,46.59800
7.00910,0.26808,45.37400
7.00910,0.26909,44.17500
7.00910,0.27010,43.00100
7.00910,0.27111,41.85100
7.00910,0.27212,40.72700
7.00910,0.27313,39.62800
7.00910,0.27414,38.55300
7.00910,0.27515,37.50400
7.00910,0.27616,36.47800
7.00910,0.27717,35.47900
7.00910,0.27818,34.50500
7.00910,0.27919,33.55600
7.00910,0.28020,32.63200
7.00910,0.28121,31.73300
7.00910,0.28222,30.85900
7.00910,0.28323,30.01100
