True E (MeV),Full NL,Error Low,Error High
1.022,0.8948 ,-0.0036 ,0.0037 
1.046,0.8925 ,-0.0039 ,0.0040 
1.07,0.8936 ,-0.0038 ,0.0039 
1.094,0.8953 ,-0.0036 ,0.0037 
1.118,0.8971 ,-0.0034 ,0.0035 
1.142,0.8991 ,-0.0031 ,0.0032 
1.166,0.9010 ,-0.0029 ,0.0029 
1.19,0.9029 ,-0.0026 ,0.0027 
1.214,0.9048 ,-0.0024 ,0.0024 
1.238,0.9068 ,-0.0022 ,0.0022 
1.262,0.9088 ,-0.0021 ,0.0020 
1.286,0.9108 ,-0.0019 ,0.0019 
1.31,0.9128 ,-0.0019 ,0.0018 
1.334,0.9148 ,-0.0018 ,0.0018 
1.358,0.9167 ,-0.0017 ,0.0017 
1.382,0.9187 ,-0.0016 ,0.0016 
1.406,0.9206 ,-0.0016 ,0.0016 
1.43,0.9224 ,-0.0015 ,0.0015 
1.454,0.9243 ,-0.0015 ,0.0015 
1.478,0.9261 ,-0.0014 ,0.0014 
1.502,0.9279 ,-0.0014 ,0.0014 
1.526,0.9296 ,-0.0014 ,0.0013 
1.55,0.9313 ,-0.0013 ,0.0013 
1.574,0.9330 ,-0.0013 ,0.0013 
1.598,0.9346 ,-0.0013 ,0.0013 
1.622,0.9363 ,-0.0013 ,0.0013 
1.646,0.9378 ,-0.0013 ,0.0013 
1.67,0.9393 ,-0.0013 ,0.0013 
1.694,0.9408 ,-0.0012 ,0.0013 
1.718,0.9423 ,-0.0012 ,0.0013 
1.742,0.9437 ,-0.0013 ,0.0013 
1.766,0.9452 ,-0.0013 ,0.0013 
1.79,0.9465 ,-0.0013 ,0.0013 
1.814,0.9478 ,-0.0013 ,0.0013 
1.838,0.9492 ,-0.0013 ,0.0013 
1.862,0.9505 ,-0.0013 ,0.0013 
1.886,0.9517 ,-0.0013 ,0.0013 
1.91,0.9529 ,-0.0013 ,0.0014 
1.934,0.9541 ,-0.0014 ,0.0014 
1.958,0.9553 ,-0.0014 ,0.0014 
1.982,0.9565 ,-0.0014 ,0.0015 
2.006,0.9576 ,-0.0014 ,0.0015 
2.03,0.9587 ,-0.0015 ,0.0015 
2.054,0.9598 ,-0.0015 ,0.0016 
2.078,0.9608 ,-0.0015 ,0.0016 
2.102,0.9619 ,-0.0016 ,0.0017 
2.126,0.9629 ,-0.0016 ,0.0017 
2.15,0.9639 ,-0.0017 ,0.0017 
2.174,0.9649 ,-0.0017 ,0.0018 
2.198,0.9658 ,-0.0018 ,0.0018 
2.222,0.9667 ,-0.0018 ,0.0019 
2.246,0.9677 ,-0.0019 ,0.0019 
2.27,0.9686 ,-0.0019 ,0.0019 
2.294,0.9694 ,-0.0019 ,0.0020 
2.318,0.9703 ,-0.0020 ,0.0020 
2.342,0.9712 ,-0.0020 ,0.0021 
2.366,0.9720 ,-0.0021 ,0.0021 
2.39,0.9728 ,-0.0021 ,0.0022 
2.414,0.9736 ,-0.0021 ,0.0022 
2.438,0.9744 ,-0.0022 ,0.0022 
2.462,0.9752 ,-0.0022 ,0.0023 
2.486,0.9759 ,-0.0023 ,0.0023 
2.51,0.9767 ,-0.0023 ,0.0024 
2.534,0.9774 ,-0.0024 ,0.0024 
2.558,0.9781 ,-0.0024 ,0.0024 
2.582,0.9788 ,-0.0024 ,0.0025 
2.606,0.9795 ,-0.0025 ,0.0025 
2.63,0.9801 ,-0.0025 ,0.0025 
2.654,0.9808 ,-0.0025 ,0.0026 
2.678,0.9815 ,-0.0026 ,0.0026 
2.702,0.9821 ,-0.0026 ,0.0026 
2.726,0.9828 ,-0.0027 ,0.0027 
2.75,0.9834 ,-0.0027 ,0.0027 
2.774,0.9840 ,-0.0027 ,0.0027 
2.798,0.9846 ,-0.0027 ,0.0028 
2.822,0.9851 ,-0.0028 ,0.0028 
2.846,0.9857 ,-0.0028 ,0.0028 
2.87,0.9863 ,-0.0028 ,0.0028 
2.894,0.9868 ,-0.0028 ,0.0029 
2.918,0.9874 ,-0.0029 ,0.0029 
2.942,0.9879 ,-0.0029 ,0.0029 
2.966,0.9885 ,-0.0029 ,0.0030 
2.99,0.9890 ,-0.0030 ,0.0030 
3.014,0.9895 ,-0.0030 ,0.0030 
