Reco E (MeV),Hist val
0.028 ,32.84 
0.083 ,51.39 
0.139 ,69.12 
0.194 ,86.62 
0.250 ,104.21 
0.306 ,122.49 
0.361 ,141.47 
0.417 ,161.11 
0.472 ,181.64 
0.528 ,203.04 
0.583 ,225.05 
0.639 ,247.79 
0.694 ,271.26 
0.750 ,295.64 
0.806 ,320.43 
0.861 ,345.96 
0.917 ,371.88 
0.972 ,398.47 
1.028 ,426.18 
1.083 ,454.06 
1.139 ,482.35 
1.194 ,511.25 
1.250 ,540.81 
1.306 ,570.74 
1.361 ,600.89 
1.417 ,631.69 
1.472 ,663.23 
1.528 ,695.22 
1.583 ,727.46 
1.639 ,759.51 
1.694 ,791.66 
1.750 ,824.95 
1.806 ,859.05 
1.861 ,892.99 
1.917 ,926.56 
1.972 ,959.81 
2.028 ,993.48 
2.083 ,1028.32 
2.139 ,1063.66 
2.194 ,1098.83 
2.250 ,1133.97 
2.306 ,1169.23 
2.361 ,1204.54 
2.417 ,1239.73 
2.472 ,1274.58 
2.528 ,1309.19 
2.583 ,1344.06 
2.639 ,1379.44 
2.694 ,1415.28 
2.750 ,1451.26 
2.806 ,1486.90 
2.861 ,1521.97 
2.917 ,1556.53 
2.972 ,1590.90 
3.028 ,1625.50 
3.083 ,1660.47 
3.139 ,1695.65 
3.194 ,1730.67 
3.250 ,1765.29 
3.306 ,1799.53 
3.361 ,1833.51 
3.417 ,1867.32 
3.472 ,1901.08 
3.528 ,1934.91 
3.583 ,1968.57 
3.639 ,2001.52 
3.694 ,2033.23 
3.750 ,2063.67 
3.806 ,2093.47 
3.861 ,2123.47 
3.917 ,2153.98 
3.972 ,2184.71 
4.028 ,2215.27 
4.083 ,2245.39 
4.139 ,2275.05 
4.194 ,2304.28 
4.250 ,2333.04 
4.306 ,2361.27 
4.361 ,2388.99 
4.417 ,2416.28 
4.472 ,2443.25 
4.528 ,2470.01 
4.583 ,2496.61 
4.639 ,2523.10 
4.694 ,2549.38 
4.750 ,2575.22 
4.806 ,2600.34 
4.861 ,2624.63 
4.917 ,2648.13 
4.972 ,2670.96 
5.028 ,2693.18 
5.083 ,2714.74 
5.139 ,2735.60 
5.194 ,2755.71 
5.250 ,2775.13 
5.306 ,2793.99 
5.361 ,2812.40 
5.417 ,2830.36 
5.472 ,2847.81 
5.528 ,2864.69 
5.583 ,2880.94 
5.639 ,2896.53 
5.694 ,2911.44 
5.750 ,2925.68 
5.806 ,2939.26 
5.861 ,2952.21 
5.917 ,2964.52 
5.972 ,2976.21 
6.028 ,2987.26 
6.083 ,2997.69 
6.139 ,3007.51 
6.194 ,3016.76 
6.250 ,3025.43 
6.306 ,3033.46 
6.361 ,3040.74 
6.417 ,3047.22 
6.472 ,3052.88 
6.528 ,3057.73 
6.583 ,3061.82 
6.639 ,3065.18 
6.694 ,3067.81 
6.750 ,3069.71 
6.806 ,3070.88 
6.861 ,3071.31 
6.917 ,3071.01 
6.972 ,3069.96 
7.028 ,3068.18 
7.083 ,3065.66 
7.139 ,3062.40 
7.194 ,3058.38 
7.250 ,3053.61 
7.306 ,3048.08 
7.361 ,3041.81 
7.417 ,3034.81 
7.472 ,3027.12 
7.528 ,3018.72 
7.583 ,3009.62 
