Reco E (MeV),Hist val
7.639 ,2999.82 
7.694 ,2989.31 
7.750 ,2978.09 
7.806 ,2966.15 
7.861 ,2953.51 
7.917 ,2940.17 
7.972 ,2926.12 
8.028 ,2911.39 
8.083 ,2895.98 
8.139 ,2879.90 
8.194 ,2863.18 
8.250 ,2845.82 
8.306 ,2827.85 
8.361 ,2809.25 
8.417 ,2790.00 
8.472 ,2770.08 
8.528 ,2749.46 
8.583 ,2728.15 
8.639 ,2706.17 
8.694 ,2683.54 
8.750 ,2660.28 
8.806 ,2636.40 
8.861 ,2611.93 
8.917 ,2586.87 
8.972 ,2561.24 
9.028 ,2535.04 
9.083 ,2508.29 
9.139 ,2480.97 
9.194 ,2453.11 
9.250 ,2424.70 
9.306 ,2395.75 
9.361 ,2366.28 
9.417 ,2336.30 
9.472 ,2305.86 
9.528 ,2274.97 
9.583 ,2243.66 
9.639 ,2211.95 
9.694 ,2179.84 
9.750 ,2147.34 
9.806 ,2114.45 
9.861 ,2081.20 
9.917 ,2047.58 
9.972 ,2013.62 
10.028 ,1979.34 
10.083 ,1944.74 
10.139 ,1909.86 
10.194 ,1874.72 
10.250 ,1839.35 
10.306 ,1803.76 
10.361 ,1767.98 
10.417 ,1732.00 
10.472 ,1695.82 
10.528 ,1659.44 
10.583 ,1622.86 
10.639 ,1586.08 
10.694 ,1549.12 
10.750 ,1512.01 
10.806 ,1474.79 
10.861 ,1437.48 
10.917 ,1400.12 
10.972 ,1362.73 
11.028 ,1325.33 
11.083 ,1287.94 
11.139 ,1250.60 
11.194 ,1213.32 
11.250 ,1176.12 
11.306 ,1139.03 
11.361 ,1102.07 
11.417 ,1065.26 
11.472 ,1028.64 
11.528 ,992.21 
11.583 ,956.01 
11.639 ,920.06 
11.694 ,884.39 
11.750 ,849.02 
11.806 ,813.97 
11.861 ,779.28 
11.917 ,744.97 
11.972 ,711.07 
12.028 ,677.60 
12.083 ,644.58 
12.139 ,612.06 
12.194 ,580.05 
12.250 ,548.58 
12.306 ,517.68 
12.361 ,487.38 
12.417 ,457.72 
12.472 ,428.71 
12.528 ,400.39 
12.583 ,372.81 
12.639 ,345.98 
12.694 ,319.94 
12.750 ,294.72 
12.806 ,270.35 
12.861 ,246.87 
12.917 ,224.30 
12.972 ,202.67 
13.028 ,182.02 
13.083 ,162.37 
13.139 ,143.77 
13.194 ,126.25 
13.250 ,109.83 
13.306 ,94.55 
13.361 ,80.45 
13.417 ,67.55 
13.472 ,55.88 
13.528 ,45.46 
13.583 ,36.30 
13.639 ,28.37 
13.694 ,21.67 
13.750 ,16.13 
13.806 ,11.67 
13.861 ,8.18 
13.917 ,5.55 
13.972 ,3.63 
14.028 ,2.29 
14.083 ,1.38 
14.139 ,0.80 
14.194 ,0.44 
14.250 ,0.23 
14.306 ,0.12 
14.361 ,0.06 
14.417 ,0.03 
14.472 ,0.01 
14.528 ,0.00 
14.583 ,0.00 
14.639 ,0.00 
14.694 ,0.00 
14.750 ,0.00 
14.806 ,0.00 
14.861 ,0.00 
14.917 ,0
14.972 ,0
15.028 ,0
15.083 ,0
15.139 ,0
15.194 ,0
15.250 ,0
15.306 ,0
15.361 ,0
15.417 ,0
15.472 ,0
15.528 ,0
15.583 ,0
15.639 ,0
15.694 ,0
15.750 ,0
15.806 ,0
15.861 ,0
15.917 ,0
15.972 ,0
16.028 ,0
16.083 ,0
16.139 ,0
16.194 ,0
16.250 ,0
16.306 ,0
16.361 ,0
16.417 ,0
16.472 ,0
16.528 ,0
16.583 ,0
16.639 ,0
16.694 ,0
16.750 ,0
16.806 ,0
16.861 ,0
16.917 ,0
16.972 ,0
17.028 ,0
17.083 ,0
17.139 ,0
17.194 ,0
17.250 ,0
17.306 ,0
17.361 ,0
17.417 ,0
17.472 ,0
17.528 ,0
17.583 ,0
17.639 ,0
17.694 ,0
17.750 ,0
17.806 ,0
17.861 ,0
17.917 ,0
17.972 ,0
18.028 ,0
18.083 ,0
18.139 ,0
18.194 ,0
18.250 ,0
18.306 ,0
18.361 ,0
18.417 ,0
18.472 ,0
18.528 ,0
18.583 ,0
18.639 ,0
18.694 ,0
18.750 ,0
18.806 ,0
18.861 ,0
18.917 ,0
18.972 ,0
19.028 ,0
19.083 ,0
19.139 ,0
19.194 ,0
19.250 ,0
19.306 ,0
19.361 ,0
19.417 ,0
19.472 ,0
19.528 ,0
19.583 ,0
19.639 ,0
19.694 ,0
19.750 ,0
19.806 ,0
19.861 ,0
19.917 ,0
19.972 ,0
